# #0 species name
# #1 Tree shapes were manually lookep up.
# #2 Crown h/w ratio - missing
# #3 Crown diameter based on Berlin tree statistics
# #4 Tree height based on Berlin tree statistics
# #5 Tree LAI summer - missing
# #6 Tree LAI winter - missing
# #7 Height of lad maximum - missing
# #8 Ratio LAD/BAD - missing
# #9 Trunk diameter at breast height from Berlin
species,         shape, crown_ratio, crown_diameter, height, lai_summer, lai_winter, lad_max_height, bad_scale,  trunk_diameter
Parrotia,            1,         1.0,            7.0,    7.0,        3.0,        0.8,            0.6,     0.025,            0.30
Paulownia,           1,         1.0,            4.0,    8.0,        3.0,        0.8,            0.6,     0.025,            0.40
Phellodendron,       1,         1.0,           13.5,   13.5,        3.0,        0.8,            0.6,     0.025,            0.50
Picea,               3,         1.0,            3.0,   13.0,        3.0,        0.8,            0.6,     0.025,            0.90
Pinus,               3,         1.0,            6.0,   16.0,        3.0,        0.8,            0.6,     0.025,            0.80
Platanus,            1,         1.0,           10.0,   14.5,        3.0,        0.8,            0.6,     0.025,            1.10
Populus,             1,         1.0,            9.0,   20.0,        3.0,        0.8,            0.6,     0.025,            1.40
Prunus,              1,         1.0,            5.0,    7.0,        3.0,        0.8,            0.6,     0.025,            1.60
Pseudotsuga,         3,         1.0,            6.0,   17.5,        3.0,        0.8,            0.6,     0.025,            0.70
Ptelea,              1,         1.0,            5.0,    4.0,        3.0,        0.8,            0.6,     0.025,            1.10
Pterocaria,          1,         1.0,           10.0,   12.0,        3.0,        0.8,            0.6,     0.025,            0.50
Pterocarya,          1,         1.0,           11.5,   14.5,        3.0,        0.8,            0.6,     0.025,            1.60
Pyrus,               3,         1.0,            3.0,    6.0,        3.0,        0.8,            0.6,     0.025,            1.80
Quercus,             1,         1.0,            8.0,   14.0,        3.1,        0.1,            0.6,     0.025,            0.40
Rhamnus,             1,         1.0,            4.5,    4.5,        3.0,        0.8,            0.6,     0.025,            1.30
Rhus,                1,         1.0,            7.0,    5.5,        3.0,        0.8,            0.6,     0.025,            0.50
Robinia,             1,         1.0,            4.5,   13.5,        3.0,        0.8,            0.6,     0.025,            0.50
Salix,               1,         1.0,            7.0,   14.0,        3.0,        0.8,            0.6,     0.025,            1.10
Sambucus,            1,         1.0,            8.0,    6.0,        3.0,        0.8,            0.6,     0.025,            1.40
Sasa,                1,         1.0,           10.0,   25.0,        3.0,        0.8,            0.6,     0.025,            0.60
Sequoiadendron,      5,         1.0,            5.5,   10.5,        3.0,        0.8,            0.6,     0.025,            1.60
Sophora,             1,         1.0,            7.5,   10.0,        3.0,        0.8,            0.6,     0.025,            1.40
Sorbus,              1,         1.0,            4.0,    7.0,        3.0,        0.8,            0.6,     0.025,            1.10
Syringa,             1,         1.0,            4.5,    5.0,        3.0,        0.8,            0.6,     0.025,            0.60
Tamarix,             1,         1.0,            6.0,    7.0,        3.0,        0.8,            0.6,     0.025,            0.50
Taxodium,            5,         1.0,            6.0,   16.5,        3.0,        0.8,            0.6,     0.025,            0.60
Taxus,               2,         1.0,            5.0,    7.5,        3.0,        0.8,            0.6,     0.025,            1.50
Thuja,               3,         1.0,            3.5,    9.0,        3.0,        0.8,            0.6,     0.025,            0.70
Tilia,               3,         1.0,            7.0,   12.5,        3.0,        0.8,            0.6,     0.025,            0.70
Tsuga,               3,         1.0,            6.0,   10.5,        3.0,        0.8,            0.6,     0.025,            1.10
Ulmus,               1,         1.0,            7.5,   14.0,        3.0,        0.8,            0.6,     0.025,            0.80
Zelkova,             1,         1.0,            4.0,    5.5,        3.0,        0.8,            0.6,     0.025,            1.20
Zenobia,             1,         1.0,            5.0,    5.0,        3.0,        0.8,            0.6,     0.025,            0.40
